1.7895;-0.50869;-0.20531;-0.2596;-0.19536;-0.1934;-0.14409;-0.1048;-0.065272;-0.0202;0.016591;0.043717;0.025265
2.5323;-0.070615;-0.049962;-0.41124;-0.39232;-0.21416;-0.13536;-0.1842;-0.099805;-0.1255;-0.087727;0.078524;0.058461
3.6547;-0.030782;-0.054874;-0.57131;-0.42954;-0.10386;-0.047565;-0.25194;-0.05289;-0.15885;-0.20674;0.076855;0.05193
3.0295;0.0037966;-0.077266;-0.54189;-0.43381;-0.13385;-0.10097;-0.22668;-0.08763;-0.21695;-0.13785;0.089257;0.050493
1.8805;-0.46044;-0.20852;-0.32164;-0.26508;-0.19761;-0.11514;-0.099288;-0.080894;-0.083029;-0.04902;0.049308;0.067104
1.7749;-0.52769;-0.22213;-0.27287;-0.19595;-0.18013;-0.12476;-0.096748;-0.064446;-0.035458;-0.00324;0.030796;0.03257
1.7523;-0.54564;-0.24397;-0.28927;-0.18444;-0.16114;-0.10883;-0.080189;-0.048877;-0.019215;-0.0029226;0.024165;0.014653
1.7428;-0.54558;-0.23428;-0.2709;-0.17831;-0.15607;-0.1112;-0.080059;-0.051416;-0.021487;-0.010249;0.01246;0.019677
1.7499;-0.54531;-0.24875;-0.27707;-0.18342;-0.15514;-0.10498;-0.085106;-0.048004;-0.023832;-0.019912;0.0087216;0.019647
1.7435;-0.54843;-0.23988;-0.27412;-0.1785;-0.15412;-0.10718;-0.078149;-0.049692;-0.020029;-0.0028031;0.015238;0.017294
1.7389;-0.54834;-0.24564;-0.28221;-0.18996;-0.15896;-0.10122;-0.075607;-0.046863;-0.019657;-0.0095821;0.014918;0.018098
1.7514;-0.54639;-0.24256;-0.28882;-0.18914;-0.15848;-0.094241;-0.075203;-0.059507;-0.028668;-0.010032;0.016862;0.02159
1.762;-0.53736;-0.24091;-0.28721;-0.19278;-0.1513;-0.089902;-0.067972;-0.045401;-0.031609;-0.013275;0.014728;0.019879
1.7737;-0.52218;-0.19664;-0.2334;-0.14284;-0.13029;-0.089734;-0.053967;-0.028906;-0.013945;-0.0050837;0.020585;0.010809
1.7725;-0.52779;-0.22309;-0.26536;-0.1744;-0.16194;-0.091159;-0.051644;-0.048641;-0.026274;-0.011707;0.0019367;0.012225
1.8163;-0.50108;-0.21492;-0.26608;-0.16627;-0.13504;-0.046009;-0.010408;-0.026638;-0.02799;-0.027464;0.011559;0.021274
1.823;-0.50137;-0.21382;-0.26476;-0.15473;-0.13459;-0.044226;-0.027533;-0.037664;-0.013284;0.019798;0.035343;0.0051717
